song,album,genre,mood,theme,features
Tim McGraw,Taylor Swift,Country,Romantic,First Love,"country acoustic nostalgic first love"
Picture to Burn,Taylor Swift,Country,Angry,Breakup,"country breakup revenge energetic"
Teardrops on My Guitar,Taylor Swift,Country,Emotional,Unrequited Love,"country emotional crush heartbreak"
A Place in This World,Taylor Swift,Country,Hopeful,Self Discovery,"country hopeful growing up"
Cold as You,Taylor Swift,Country,Sad,Toxic Relationship,"country heartbreak emotional"
The Outside,Taylor Swift,Country,Lonely,Belonging,"country loneliness outsider"
Tied Together with a Smile,Taylor Swift,Country,Emotional,Mental Health,"country emotional friendship support"
Stay Beautiful,Taylor Swift,Country,Happy,Admiration,"country happy crush"
Should've Said No,Taylor Swift,Country,Angry,Cheating,"country betrayal revenge"
Mary's Song (Oh My My My),Taylor Swift,Country,Romantic,Growing Love,"country childhood romance"
Our Song,Taylor Swift,Country,Happy,Young Love,"country fun romance"
I'm Only Me When I'm With You,Taylor Swift,Country,Happy,Friendship,"country friendship upbeat"
Invisible,Taylor Swift,Country,Sad,Hidden Love,"country emotional unseen love"
Fearless,Fearless,Country Pop,Confident,Courage,"country pop fearless confidence"
Fifteen,Fearless,Country Pop,Nostalgic,Teenage Life,"school friendship growing up"
Love Story,Fearless,Country Pop,Romantic,Love,"fairytale romance prince princess"
Hey Stephen,Fearless,Country Pop,Happy,Crush,"cute happy crush"
White Horse,Fearless,Country Pop,Sad,Breakup,"heartbreak emotional goodbye"
You Belong With Me,Fearless,Country Pop,Hopeful,Love,"best friend romance"
Breathe,Fearless,Country Pop,Sad,Friendship,"goodbye emotional friendship"
Tell Me Why,Fearless,Country Pop,Angry,Toxic Relationship,"arguments toxic relationship"
You're Not Sorry,Fearless,Country Pop,Angry,Betrayal,"betrayal heartbreak"
The Way I Loved You,Fearless,Country Pop,Passionate,Love,"intense emotional romance"
Forever & Always,Fearless,Country Pop,Angry,Breakup,"breakup energetic"
The Best Day,Fearless,Country Pop,Happy,Family,"mother family childhood"
Change,Fearless,Country Pop,Inspirational,Success,"dreams motivation victory"
Jump Then Fall,Fearless,Country Pop,Happy,Love,"romantic upbeat"
Untouchable,Fearless,Country Pop,Dreamy,Admiration,"dreamy beautiful love"
Come In With The Rain,Fearless,Country Pop,Hopeful,Second Chance,"hope relationship"
Superstar,Fearless,Country Pop,Dreamy,Admiration,"celebrity crush"
The Other Side of the Door,Fearless,Country Pop,Emotional,Relationship,"fight apology romance"
Mr. Perfectly Fine,Fearless (Taylor's Version),Country Pop,Sassy,Breakup,"confident breakup attitude"
You All Over Me,Fearless (Taylor's Version),Country,Sad,Memories,"nostalgic memories relationship"
Don't You,Fearless (Taylor's Version),Country Pop,Melancholic,Past Love,"old love emotional"
Bye Bye Baby,Fearless (Taylor's Version),Country,Sad,Breakup,"letting go heartbreak"
Mine,Speak Now,Country Pop,Romantic,Love,"romantic hopeful wedding happy"
Sparks Fly,Speak Now,Country Pop,Excited,Love,"chemistry attraction energetic"
Back To December,Speak Now,Country Pop,Regret,Apology,"regret winter memories ex"
Speak Now,Speak Now,Country Pop,Playful,Wedding,"wedding fun romance"
Dear John,Speak Now,Country Pop,Heartbroken,Toxic Relationship,"manipulation emotional healing"
Mean,Speak Now,Country Pop,Confident,Self Empowerment,"confidence bullying strength"
The Story Of Us,Speak Now,Country Pop,Awkward,Breakup,"miscommunication relationship"
Never Grow Up,Speak Now,Country Pop,Nostalgic,Childhood,"family growing emotional"
Enchanted,Speak Now,Country Pop,Dreamy,Love,"fairytale magical love destiny"
Better Than Revenge,Speak Now,Country Pop,Angry,Jealousy,"revenge confidence drama"
Innocent,Speak Now,Country Pop,Forgiving,Forgiveness,"forgiveness hope healing"
Haunted,Speak Now,Country Pop,Dark,Heartbreak,"haunting emotional relationship"
Last Kiss,Speak Now,Country Pop,Sad,Breakup,"memories heartbreak emotional"
Long Live,Speak Now,Country Pop,Inspirational,Friendship,"success memories fans"
Ours,Speak Now,Country Pop,Romantic,Love,"love against odds"
Electric Touch,Speak Now (Taylor's Version),Pop Rock,Hopeful,New Love,"new romance excitement"
I Can See You,Speak Now (Taylor's Version),Pop Rock,Flirty,Attraction,"secret attraction chemistry"
Castles Crumbling,Speak Now (Taylor's Version),Pop Rock,Reflective,Fame,"fame insecurity reflection"
Foolish One,Speak Now (Taylor's Version),Country Pop,Emotional,Unrequited Love,"hope disappointment"
Timeless,Speak Now (Taylor's Version),Country Pop,Romantic,Eternal Love,"timeless destiny romance"
State Of Grace,Red,Pop Rock,Hopeful,Love,"new love beginning"
Red,Red,Pop Rock,Passionate,Love,"burning intense relationship"
Treacherous,Red,Pop,Slow Burn,Love,"dangerous romance"
I Knew You Were Trouble,Red,Pop,Angry,Breakup,"toxic relationship"
All Too Well,Red,Pop,Sad,Heartbreak,"memories scarf emotional breakup"
22,Red,Pop,Happy,Youth,"friends fun carefree"
I Almost Do,Red,Pop,Sad,Missing Someone,"longing memories"
We Are Never Ever Getting Back Together,Red,Pop,Sassy,Breakup,"breakup confidence independence"
Stay Stay Stay,Red,Pop,Happy,Relationship,"cute playful romance"
The Last Time,Red,Pop,Sad,Farewell,"goodbye relationship"
Holy Ground,Red,Pop,Nostalgic,Past Love,"memories appreciation"
Sad Beautiful Tragic,Red,Pop,Melancholic,Heartbreak,"distance emotional"
The Lucky One,Red,Pop,Reflective,Fame,"celebrity loneliness"
Everything Has Changed,Red,Folk Pop,Romantic,New Love,"sweet acoustic romance"
Starlight,Red,Pop,Happy,Young Love,"dance romance happiness"
Begin Again,Red,Country Pop,Hopeful,New Beginning,"healing second chance"
The Moment I Knew,Red,Pop,Sad,Disappointment,"birthday heartbreak"
Come Back... Be Here,Red,Pop,Sad,Long Distance,"distance longing"
Girl At Home,Red,Pop,Sassy,Loyalty,"faithful relationship"
Better Man,Red (Taylor's Version),Country,Sad,Breakup,"heartbreak maturity"
Nothing New,Red (Taylor's Version),Folk Pop,Reflective,Growing Up,"aging insecurity"
Babe,Red (Taylor's Version),Pop,Angry,Cheating,"betrayal confidence"
Message In A Bottle,Red (Taylor's Version),Pop,Happy,Crush,"catchy love excitement"
I Bet You Think About Me,Red (Taylor's Version),Country,Sassy,Ex Relationship,"sarcastic confidence"
Forever Winter,Red (Taylor's Version),Pop,Sad,Mental Health,"support emotional"
Run,Red (Taylor's Version),Folk Pop,Romantic,Escape,"quiet romance"
The Very First Night,Red (Taylor's Version),Pop,Happy,Young Love,"nostalgic fun"
All Too Well (10 Minute Version),Red (Taylor's Version),Pop,Sad,Heartbreak,"deep storytelling memories"
Welcome To New York,1989,Pop,Excited,New Beginning,"city freedom adventure"
Blank Space,1989,Pop,Playful,Relationship,"satire romance catchy"
Style,1989,Pop,Romantic,Timeless Love,"classic romance stylish"
Out Of The Woods,1989,Synth Pop,Anxious,Relationship,"uncertainty memories"
All You Had To Do Was Stay,1989,Pop,Sad,Breakup,"regret emotional"
Shake It Off,1989,Pop,Confident,Self Empowerment,"confidence carefree dance"
I Wish You Would,1989,Pop,Hopeful,Relationship,"missing someone"
Bad Blood,1989,Pop,Angry,Betrayal,"friendship conflict revenge"
Wildest Dreams,1989,Dream Pop,Romantic,Fantasy,"dreamy cinematic love"
How You Get The Girl,1989,Pop,Happy,Second Chance,"love reunion"
This Love,1989,Dream Pop,Peaceful,Love,"returning romance"
I Know Places,1989,Pop,Protective,Secret Love,"escape privacy"
Clean,1989,Pop,Healing,Moving On,"growth freedom healing"
Wonderland,1989,Pop,Fantasy,Love,"adventure romance"
You Are In Love,1989,Dream Pop,Romantic,True Love,"deep connection"
New Romantics,1989,Pop,Happy,Youth,"freedom friendship fun"
Is It Over Now?,1989 (Taylor's Version),Synth Pop,Emotional,Breakup,"late night memories"
Now That We Don't Talk,1989 (Taylor's Version),Pop,Sassy,Moving On,"acceptance independence"
Say Don't Go,1989 (Taylor's Version),Pop,Sad,Heartbreak,"begging relationship"
Suburban Legends,1989 (Taylor's Version),Pop,Nostalgic,Young Love,"small town memories"
Slut!,1989 (Taylor's Version),Dream Pop,Romantic,Love,"soft vulnerable romance"
...Ready For It?,reputation,Electropop,Confident,Love,"power confidence attraction"
End Game,reputation,Pop Rap,Confident,Relationship,"future romance"
I Did Something Bad,reputation,Electropop,Bold,Revenge,"power revenge confidence"
Don't Blame Me,reputation,Electropop,Passionate,Love,"obsessive romance"
Delicate,reputation,Electropop,Vulnerable,Love,"fragile relationship"
Look What You Made Me Do,reputation,Electropop,Angry,Revenge,"reinvention confidence"
So It Goes...,reputation,Electropop,Sensual,Relationship,"mystery attraction"
Gorgeous,reputation,Pop,Flirty,Crush,"playful attraction"
Getaway Car,reputation,Synth Pop,Escape,Breakup,"running freedom"
King Of My Heart,reputation,Pop,Romantic,Love,"deep commitment"
Dancing With Our Hands Tied,reputation,Electropop,Anxious,Relationship,"secret romance"
Dress,reputation,Electropop,Romantic,Intimacy,"romantic chemistry"
Call It What You Want,reputation,Synth Pop,Peaceful,Love,"safe relationship"
New Year's Day,reputation,Piano Pop,Hopeful,Commitment,"lasting love memories"
I Forgot That You Existed,Lover,Pop,Playful,Moving On,"letting go carefree confidence"
Cruel Summer,Lover,Pop,Passionate,Love,"summer romance intense"
Lover,Lover,Pop,Romantic,Commitment,"wedding forever romance"
The Man,Lover,Pop,Confident,Empowerment,"confidence feminism ambition"
The Archer,Lover,Dream Pop,Vulnerable,Self Reflection,"anxiety insecurity hope"
I Think He Knows,Lover,Pop,Flirty,Crush,"chemistry attraction fun"
Miss Americana & The Heartbreak Prince,Lover,Pop,Dark,Youth,"school politics love"
Paper Rings,Lover,Pop,Happy,Commitment,"fun marriage romance"
Cornelia Street,Lover,Pop,Nostalgic,Love,"memories relationship"
Death By A Thousand Cuts,Lover,Pop,Sad,Breakup,"healing heartbreak"
London Boy,Lover,Pop,Happy,Travel,"cute romance adventure"
Soon You'll Get Better,Lover,Country,Sad,Family,"illness hope emotional"
False God,Lover,R&B,Romantic,Relationship,"mature love"
You Need To Calm Down,Lover,Pop,Confident,Acceptance,"kindness equality"
Afterglow,Lover,Pop,Apology,Relationship,"sorry forgiveness"
Daylight,Lover,Pop,Hopeful,New Beginning,"healthy love"

the 1,folklore,Indie Folk,Nostalgic,Past Love,"what if memories"
cardigan,folklore,Indie Folk,Melancholic,Love,"nostalgia sweater memories"
the last great american dynasty,folklore,Indie Folk,Storytelling,History,"story mansion legacy"
exile,folklore,Indie Folk,Sad,Breakup,"duet heartbreak distance"
my tears ricochet,folklore,Indie Folk,Heartbroken,Betrayal,"ghost betrayal healing"
mirrorball,folklore,Dream Pop,Vulnerable,Identity,"people pleasing"
seven,folklore,Indie Folk,Nostalgic,Childhood,"friendship innocence"
august,folklore,Dream Pop,Romantic,Summer Love,"summer memories"
this is me trying,folklore,Indie Folk,Reflective,Mental Health,"self improvement"
illicit affairs,folklore,Indie Folk,Sad,Forbidden Love,"secret relationship"
invisible string,folklore,Indie Folk,Hopeful,Fate,"destiny soulmate"
betty,folklore,Country Folk,Hopeful,Apology,"teenage love"
peace,folklore,Indie Folk,Calm,Commitment,"quiet relationship"
hoax,folklore,Indie Folk,Dark,Heartbreak,"pain emotional"

willow,evermore,Indie Folk,Romantic,Fate,"destiny magical romance"
champagne problems,evermore,Indie Folk,Sad,Breakup,"proposal heartbreak"
gold rush,evermore,Dream Pop,Dreamy,Crush,"admiration fantasy"
'tis the damn season,evermore,Indie Folk,Nostalgic,Hometown,"holiday memories"
tolerate it,evermore,Indie Folk,Sad,Neglect,"one sided love"
"no body, no crime",evermore,Country,Dark,Crime,"mystery revenge"
happiness,evermore,Indie Folk,Healing,Moving On,"acceptance growth"
dorothea,evermore,Indie Folk,Nostalgic,Friendship,"small town memories"
coney island,evermore,Indie Folk,Reflective,Regret,"missed chances"
ivy,evermore,Indie Folk,Forbidden Love,Romance,"secret love"
cowboy like me,evermore,Country,Romantic,Trust,"slow romance"
long story short,evermore,Pop,Hopeful,Recovery,"moving forward"
marjorie,evermore,Indie Folk,Emotional,Family,"grandmother memories"
right where you left me,evermore,Indie Folk,Sad,Heartbreak,"stuck memories"

Lavender Haze,Midnights,Synth Pop,Romantic,Love,"dreamy relationship"
Maroon,Midnights,Synth Pop,Melancholic,Past Love,"deep memories"
Anti-Hero,Midnights,Synth Pop,Reflective,Self,"self doubt introspection"
Snow On The Beach,Midnights,Dream Pop,Romantic,Love,"magical romance"
"You're On Your Own, Kid",Midnights,Pop,Inspirational,Growing Up,"dreams independence"
Midnight Rain,Midnights,Synth Pop,Nostalgic,Past Love,"choices memories"
Bejeweled,Midnights,Pop,Confident,Self Worth,"confidence sparkle"
Labyrinth,Midnights,Dream Pop,Vulnerable,Falling In Love,"healing trust"
Karma,Midnights,Pop,Happy,Justice,"positive energy"
Mastermind,Midnights,Synth Pop,Clever,Love,"planning destiny"
"Would've, Could've, Should've",Midnights,Pop,Sad,Regret,"trauma healing"
Hits Different,Midnights,Pop,Sad,Breakup,"funny heartbreak"
You're Losing Me,Midnights,Pop,Heartbroken,Relationship,"slow breakup"
Fortnight,The Tortured Poets Department,Synth Pop,Melancholic,Lost Love,"memories distance"
The Tortured Poets Department,The Tortured Poets Department,Synth Pop,Reflective,Relationship,"poetry emotions"
My Boy Only Breaks His Favorite Toys,The Tortured Poets Department,Pop,Sad,Heartbreak,"toxic love"
Down Bad,The Tortured Poets Department,Synth Pop,Sad,Breakup,"space loneliness"
So Long London,The Tortured Poets Department,Piano Pop,Heartbroken,Farewell,"goodbye relationship"
But Daddy I Love Him,The Tortured Poets Department,Country Pop,Defiant,Love,"rebellious romance"
Fresh Out The Slammer,The Tortured Poets Department,Synth Pop,Hopeful,Freedom,"new beginning"
Florida!!!,The Tortured Poets Department,Pop,Chaotic,Escape,"escape freedom"
Guilty as Sin?,The Tortured Poets Department,Dream Pop,Romantic,Fantasy,"secret desire"
Who's Afraid of Little Old Me?,The Tortured Poets Department,Pop,Confident,Revenge,"strength confidence"
I Can Do It With a Broken Heart,The Tortured Poets Department,Pop,Confident,Resilience,"performing healing"
The Smallest Man Who Ever Lived,The Tortured Poets Department,Pop,Angry,Betrayal,"anger heartbreak"
The Black Dog,The Tortured Poets Department,Pop,Sad,Memories,"pub memories breakup"
imgonnagetyouback,The Tortured Poets Department,Pop,Flirty,Second Chance,"love revenge"
So High School,The Tortured Poets Department,Pop,Happy,Young Love,"teen romance"
The Alchemy,The Tortured Poets Department,Pop,Romantic,Destiny,"winning love"
Clara Bow,The Tortured Poets Department,Folk Pop,Reflective,Fame,"legacy identity"
The Prophecy,The Tortured Poets Department,Indie Folk,Emotional,Fate,"destiny loneliness"
Peter,The Tortured Poets Department,Indie Folk,Nostalgic,Memories,"childhood dreams"
The Bolter,The Tortured Poets Department,Indie Folk,Hopeful,Freedom,"escape independence"
The Fate of Ophelia,The Life of a Showgirl,Soft Pop,Reflective,Fate,"poetic emotional destiny hope"
Elizabeth Taylor,The Life of a Showgirl,Soft Pop,Romantic,Love,"classic romance glamorous cinematic"
Opalite,The Life of a Showgirl,Soft Pop,Dreamy,Love,"crystal dreamy hopeful relationship"
Father Figure,The Life of a Showgirl,Soft Rock,Emotional,Guidance,"family trust vulnerability healing"
Eldest Daughter,The Life of a Showgirl,Soft Pop,Reflective,Family,"responsibility childhood memories"
Ruin The Friendship,The Life of a Showgirl,Soft Pop,Sad,Friendship,"friendship romance complicated"
Actually Romantic,The Life of a Showgirl,Soft Pop,Romantic,Love,"confession relationship hopeful"
Wi$h Li$t,The Life of a Showgirl,Pop,Confident,Ambition,"dreams success confidence"
Wood,The Life of a Showgirl,Soft Rock,Calm,Nature,"peace growth reflection"
CANCELLED!,The Life of a Showgirl,Pop,Defiant,Resilience,"criticism comeback confidence"
Honey,The Life of a Showgirl,Soft Pop,Happy,Love,"sweet romance warm cheerful"
The Life of a Showgirl,The Life of a Showgirl,Soft Pop,Triumphant,Fame,"showgirl performance confidence legacy"